sessionId,moduleCode,day,start,end,roomId,lecturerId,groupId
1,MS4131,MON,9,10,CSG002,3006,ALL
2,MS4131,MON,15,16,SR3008,3006,ALL
3,MS4131,TUE,10,11,KBG12,3006,ALL
4,MS4131,THU,9,10,CSG025,3006,G1
5,MS4131,TUE,15,16,KBG14,3006,G2
6,CS4416,THU,17,18,CSG003,3008,ALL
7,CS4416,TUE,13,14,KBG12,3008,ALL
8,CS4416,FRI,11,12,CS3004B,3008,G1
9,CS4416,TUE,16,17,CS1044,3008,G2
10,CS4416,TUE,15,16,CSG026,3008,G1
11,CS4416,FRI,12,13,KBG13,3008,G2
12,CS4182,WED,17,18,CSG029,2008,ALL
13,CS4182,TUE,17,18,SR3008,2008,ALL
14,CS4182,MON,13,14,CS3005B,2008,G1
15,CS4182,TUE,13,14,CS2045,2008,G2
16,CS4182,MON,12,13,SR3007,2008,G1
17,CS4182,TUE,10,11,SR3008,2008,G2
18,CS4023,THU,9,10,CSG028,2002,ALL
19,CS4023,WED,13,14,CSG003,2002,ALL
20,CS4023,MON,14,15,CS2044,2002,G1
21,CS4023,MON,16,17,CS2044,2002,G2
22,CS4023,THU,10,11,SR3008,2002,G1
23,CS4023,FRI,15,16,CSG003,2002,G2
24,CS4006,TUE,15,16,CSG002,2003,ALL
25,CS4006,WED,16,17,KBG13,2003,ALL
26,CS4006,WED,15,16,CS3005A,2003,G1
27,CS4006,TUE,17,18,CS1044,2003,G2
28,CS4006,TUE,10,11,CSG025,2003,G1
29,CS4006,MON,12,13,CSG025,2003,G2
30,CS4096,FRI,13,14,KBG12,2002,ALL
31,CS4096,FRI,10,11,SR3007,2002,ALL
32,CS4096,THU,11,12,CS3005B,2002,G1
33,CS4096,WED,11,12,CS3004B,2002,G2
34,CS4096,MON,9,10,CSG026,2002,G1
35,CS4096,FRI,16,17,CSG002,2002,G2
36,CS4242,TUE,14,15,SR3008,2005,ALL
37,CS4242,TUE,15,16,CSG025,2005,ALL
38,CS4242,WED,16,17,CS2044,2005,G1
